iniNr,id,Tipo,iniTipo,iniDescTipo,iniLeg,iniSel,dataInicioleg,dataFimleg,iniTitulo,iniTextoSubst,iniLinkTexto,iniciativasOriginadas,iniEventos,iniAutorDeputados,iniAutorOutros,iniId,iniAutorGruposParlamentares,fase,iniAutorOutros_sigla,iniAutorOutros_nome,autor,idComissao,nomeComissao,competenteComissao,resultado,descricao,reuniao,tipoReuniao,PS,PSD,BE,PCP,CDS-PP,PAN,PEV,CH,Cristina Rodrigues (Ninsc),Joacine Katar Moreira (Ninsc),IL,data,iniAnexos,unanime,iniTextoSubstCampo,iniObs,L,publicacao,ausencias,peticoes,iniciativasOrigem,ano,leg
1,85499,I,R,Projeto de Resolução,XIV,1,2019-10-25,2020-09-14,Constituição de uma Comissão Eventual de Verificação de Poderes dos Deputados eleitos,NAO,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c6379395953565a4d5a5763765247396a6457316c626e527663306c7561574e7059585270646d45764d7a55775a444668595745744d7a4d304e7930304d4749344c546b334f5755744e5745784d6a677a5a544d795a57597a4c6d527659773d3d&fich=350d1aaa-3347-40b8-979e-5a1283e32ef3.doc&Inline=true,,"
      ","
      ","
      ",43943,PS,Votação Deliberação,G,Grupos Parlamentares,PS,,,,Aprovado,,1,RP,A Favor,A Favor,A Favor,A Favor,A Favor,A Favor,A Favor,A Favor,,,A Favor,2019-10-25,,unanime,,,A Favor,,,,,2019,l14
1,85330,I,D,Projeto de Deliberação,XIV,1,2019-10-25,2020-09-14,Elenco e composição das comissões parlamentares permanentes,NAO,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c6379395953565a4d5a5763765247396a6457316c626e527663306c7561574e7059585270646d45764e474d775a446b795a54677459575130597930305a6d526d4c574a694e324d744e6a686c596d45795a446b314e5751344c6d527659773d3d&fich=4c0d92e8-ad4c-4fdf-bb7c-68eba2d955d8.doc&Inline=true,,"
      ","
      ","
      ",44008,,Votação Deliberação,R,PAR,PAR,,,,Aprovado,,4,RP,A Favor,A Favor,A Favor,A Favor,A Favor,A Favor,A Favor,A Favor,,,A Favor,2019-11-06,,unanime,,,A Favor,,,,,2019,l14
23,85392,I,R,Projeto de Resolução,XIV,1,2019-10-25,2020-09-14,Recomenda a localização da futura unidade de neonatologia e de cuidados na gravidez e no parto de Coimbra nos terrenos adjacentes ao Hospital dos Covões,NAO,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c6379395953565a4d5a5763765247396a6457316c626e527663306c7561574e7059585270646d45764e4455784d44637a4d4755744e6d517a4e43303059544d314c546c6d4d545974596d526d5a54466a4e5467354e446b324c6d527659773d3d&fich=4510730e-6d34-4a35-9f16-bdfe1c589496.doc&Inline=true,,"
      ","
      ","
      ",44004,BE,Votação na generalidade,G,Grupos Parlamentares,BE,,,,Rejeitado,,7,RP,Abstenção,Abstenção,A Favor,A Favor,Abstenção,Abstenção,A Favor,Abstenção,,,Contra,2019-11-15,,,,,A Favor,,,"
      ",,2019,l14
47,85380,I,R,Projeto de Resolução,XIV,1,2019-10-25,2020-09-14,Recomenda ao Governo que garanta as condições para a efetiva possibilidade de realização de sesta a partir dos três anos na Educação Pré-Escolar da rede pública do Ministério da Educação,NAO,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c6379395953565a4d5a5763765247396a6457316c626e527663306c7561574e7059585270646d45764d5759334e4456695a6a49745932566b595330305a6a45784c5467784d5749745a6a426a4e57566d5a6d56694d4755334c6d527659773d3d&fich=1f745bf2-ceda-4f11-811b-f0c5effeb0e7.doc&Inline=true,,"
      ","
      ","
      ",44053,PCP,Votação na generalidade,G,Grupos Parlamentares,PCP,7404,"Comissão de Educação, Ciência, Juventude e Desporto",S,Aprovado,,7,RP,Contra,A Favor,A Favor,A Favor,Contra,A Favor,A Favor,Abstenção,,,Contra,2019-11-15,,,,,A Favor,,,"
      ",,2019,l14
48,85394,I,R,Projeto de Resolução,XIV,1,2019-10-25,2020-09-14,Recomenda a construção de uma nova maternidade em Coimbra que abarque o número de partos das atuais maternidades e seja situada junto ao Hospital Geral dos Covões,NAO,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c6379395953565a4d5a5763765247396a6457316c626e527663306c7561574e7059585270646d45764e5467314f4456694e5463744e6d49304d6930305a446c6d4c546b315a546b744d546c6d4e5451304d545534597a55314c6d527659773d3d&fich=58585b57-6b42-4d9f-95e9-19f544158c55.doc&Inline=true,,"
      ","
      ","
      ",44055,PCP,Votação na generalidade,G,Grupos Parlamentares,PCP,,,,Rejeitado,,7,RP,Abstenção,Abstenção,A Favor,A Favor,Abstenção,A Favor,A Favor,Abstenção,,,Contra,2019-11-15,,,,,A Favor,,,"
      ",,2019,l14
49,85388,I,R,Projeto de Resolução,XIV,1,2019-10-25,2020-09-14,"Recuperação, acompanhamento e monitorização da valorização da Mata Nacional de Leiria",NAO,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c6379395953565a4d5a5763765247396a6457316c626e527663306c7561574e7059585270646d45765a5467344f4759324d574974597a4a6a5a433030597a59774c5468684f444d744e6a466d4e4455354d4759794d47497a4c6d527659773d3d&fich=e888f61b-c2cd-4c60-8a83-61f4590f20b3.doc&Inline=true,,"
      ","
      ","
      ",44056,PCP,Votação na generalidade,G,Grupos Parlamentares,PCP,7384,Comissão de Agricultura e Mar,S,Aprovado,,7,RP,Contra,A Favor,A Favor,A Favor,A Favor,A Favor,A Favor,A Favor,,,Contra,2019-11-15,,,,,A Favor,,,"
      ",,2019,l14
50,85384,I,R,Projeto de Resolução,XIV,1,2019-10-25,2020-09-14,Recomenda ao Governo o reforço das medidas de apoio aos doentes com doença inflamatória do intestino,NAO,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c6379395953565a4d5a5763765247396a6457316c626e527663306c7561574e7059585270646d45764e475a684f5449774d6a6b744e7a566b4d533030596a55324c5746684e6a63744d6a5a6d4d7a566a4f44686b4f54686b4c6d527659773d3d&fich=4fa92029-75d1-4b56-aa67-26f35c88d98d.doc&Inline=true,,"
      ","
      ","
      ",44057,PCP,Votação na generalidade,G,Grupos Parlamentares,PCP,7424,Comissão de Saúde,N,Aprovado,,7,RP,Abstenção,A Favor,A Favor,A Favor,A Favor,A Favor,A Favor,Abstenção,,,Abstenção,2019-11-15,,,,,A Favor,,,"
      ",,2019,l14
63,85390,I,J,Projeto de Lei,XIV,1,2019-10-25,2020-09-14,"Reforça o subsídio de doença para a tuberculose, doença oncológica e doença crónica (6.ª alteração do Decreto-Lei n.º 28/2004, de 4 de fevereiro)",NAO,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c6379395953565a4d5a5763765247396a6457316c626e527663306c7561574e7059585270646d45764d54526b5a474e6d4f5441744e4445314f5330305a4445304c54686a4f5455744d3245314e6a6c6b4d5441315a575a6b4c6d527659773d3d&fich=14ddcf90-4159-4d14-8c95-3a569d105efd.doc&Inline=true,,"
      ","
      ","
      ",44059,PCP,Votação na generalidade,G,Grupos Parlamentares,PCP,7444,Comissão de Trabalho e Segurança Social,S,Rejeitado,,7,RP,Contra,Contra,A Favor,A Favor,Contra,Contra,A Favor,A Favor,,,Contra,2019-11-15,"
      ",,,,A Favor,,,"
      ",,2019,l14
62,85379,I,J,Projeto de Lei,XIV,1,2019-10-25,2020-09-14,Garante o direito das crianças até 3 anos a serem acompanhadas pelos progenitores,NAO,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c6379395953565a4d5a5763765247396a6457316c626e527663306c7561574e7059585270646d45764e6d4d33596d5a694e6a6b745a445177597930305a44646d4c54686d5a6a41744e6a4e6d4e7a4d324e5445334d6a6b304c6d527659773d3d&fich=6c7bfb69-d40c-4d7f-8ff0-63f736517294.doc&Inline=true,,"
      ","
      ","
      ",44058,PCP,Requerimento Baixa Comissão sem Votação (Generalidade),G,Grupos Parlamentares,PCP,7444,Comissão de Trabalho e Segurança Social,S,Aprovado,"Requerimento, apresentado pelo PCP solicitando a baixa à Comissão de Trabalho e Segurança Social, sem votação, por 60 dias, do Projeto de Lei n.º 62/XIV/1.ª (PCP)",7,RP,A Favor,A Favor,A Favor,A Favor,A Favor,A Favor,A Favor,A Favor,,,A Favor,2019-11-15,"
      ",unanime,,,A Favor,,,"
      ",,2019,l14
60,85378,I,J,Projeto de Lei,XIV,1,2019-10-25,2020-09-14,"Cria a dispensa para acompanhamento a filhos até aos três anos, procedendo à 16.ª alteração à Lei n.º 7/2009 de 12 de fevereiro",NAO,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c6379395953565a4d5a5763765247396a6457316c626e527663306c7561574e7059585270646d45765a5455325a5751354f4455745a6d55794d6930304d7a677a4c5467354e4755744e6a45304f5463304e57457a4d6d55784c6d527659773d3d&fich=e56ed985-fe22-4383-894e-6149745a32e1.doc&Inline=true,,"
      ","
      ","
      ",44051,BE,Requerimento Baixa Comissão sem Votação (Generalidade),G,Grupos Parlamentares,BE,7444,Comissão de Trabalho e Segurança Social,S,Aprovado,"Requerimento, apresentado pelo BE solicitando a baixa à Comissão de Trabalho e Segurança Social, sem votação, por 60 dias, do Projeto de Lei n.º 60/XIV/1.ª (BE)",7,RP,A Favor,A Favor,A Favor,A Favor,A Favor,A Favor,A Favor,A Favor,,,A Favor,2019-11-15,"
      ",unanime,,,A Favor,,,"
      ",,2019,l14
22,85381,I,R,Projeto de Resolução,XIV,1,2019-10-25,2020-09-14,Recomenda ao Governo que adote medidas que permitam melhorar as condições de vida e o acesso aos cuidados de saúde por parte de pessoas com doença inflamatória do intestino,NAO,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c6379395953565a4d5a5763765247396a6457316c626e527663306c7561574e7059585270646d45764d4455334f546c6d596a63744e7a526a5a533030596a67314c546733595467745a6a51784f5745774e5449324f5749794c6d527659773d3d&fich=05799fb7-74ce-4b85-87a8-f419a05269b2.doc&Inline=true,,"
      ","
      ","
      ",44003,BE,Votação na generalidade,G,Grupos Parlamentares,BE,4532,Comissão de Saúde,N,Aprovado,,7,RP,Abstenção,A Favor,A Favor,A Favor,A Favor,A Favor,A Favor,Abstenção,,,Abstenção,2019-11-15,,,,,A Favor,,,"
      ",,2019,l14
58,85371,I,J,Projeto de Lei,XIV,1,2019-10-25,2020-09-14,Valorizações remuneratórias dos docentes do ensino superior,NAO,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c6379395953565a4d5a5763765247396a6457316c626e527663306c7561574e7059585270646d4576597a6c6d59324531595451745a546b784e7930304e44497a4c546c6859546b744d57566c597a6b7a4f574a6d4f4745344c6d527659773d3d&fich=c9fca5a4-e917-4423-9aa9-1eec939bf8a8.doc&Inline=true,,"
      ","
      ","
      ",44048,BE,Votação na generalidade,G,Grupos Parlamentares,BE,7404,"Comissão de Educação, Ciência, Juventude e Desporto",S,Rejeitado,,7,RP,Contra,Abstenção,A Favor,A Favor,Abstenção,A Favor,A Favor,Abstenção,,,Contra,2019-11-15,"
      ",,,,A Favor,,,"
      ",,2019,l14
56,85370,I,J,Projeto de Lei,XIV,1,2019-10-25,2020-09-14,Clarifica o regime de progressão remuneratória dos docentes do ensino superior,NAO,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c6379395953565a4d5a5763765247396a6457316c626e527663306c7561574e7059585270646d45765a44557a4e544177596a4d744f57597a4f5330304e7a45314c57466b5a4445745a574d304d574d354e7a41314d4459784c6d527659773d3d&fich=d53500b3-9f39-4715-add1-ec41c9705061.doc&Inline=true,,"
      ","
      ","
      ",44041,PAN,Votação na generalidade,G,Grupos Parlamentares,PAN,7404,"Comissão de Educação, Ciência, Juventude e Desporto",S,Rejeitado,,7,RP,Contra,Abstenção,A Favor,A Favor,Abstenção,A Favor,A Favor,Abstenção,,,Contra,2019-11-15,"
      ",,,,A Favor,,,"
      ",,2019,l14
55,85377,I,J,Projeto de Lei,XIV,1,2019-10-25,2020-09-14,"Cria a dispensa para assistência a filho até aos 2 anos, em substituição da dispensa para amamentação ou aleitação, procedendo à 15.ª alteração à Lei n.º 7/2009, de 12 de fevereiro, que aprova o Código do Trabalho",SIM,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c6379395953565a4d5a5763765247396a6457316c626e527663306c7561574e7059585270646d4576597a45344e4467305a446b74595445795a5330305a5451784c57466d4e4463744d445577597a5a6d4d5745784e44686d4c6d527659773d3d&fich=c18484d9-a12e-4e41-af47-050c6f1a148f.doc&Inline=true,,"
      ","
      ","
      ",44037,CDS-PP,Requerimento Baixa Comissão sem Votação (Generalidade),G,Grupos Parlamentares,CDS-PP,7444,Comissão de Trabalho e Segurança Social,S,Aprovado,"Requerimento, apresentado pelo CDS-PP solicitando a baixa à Comissão de Trabalho e Segurança Social, sem votação, por 60 dias, do Projeto de Lei n.º 55/XIV/1.ª (CDS-PP)",7,RP,A Favor,A Favor,A Favor,A Favor,A Favor,A Favor,A Favor,A Favor,,,A Favor,2019-11-15,"
      ",unanime,"Texto inicial substituído a pedido do autor, em 12 de novembro de 2019.",,A Favor,,,"
      ",,2019,l14
38,85369,I,J,Projeto de Lei,XIV,1,2019-10-25,2020-09-14,Materializa o direito à alteração obrigatória de posicionamento remuneratório aos docentes do Ensino Superior Público,NAO,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c6379395953565a4d5a5763765247396a6457316c626e527663306c7561574e7059585270646d45764e7a6b354d6a633059544d74596a4d304d4330304f4451314c5749785a6d45744e5446694e445a694e44677a4e47517a4c6d527659773d3d&fich=799274a3-b340-4845-b1fa-51b46b4834d3.doc&Inline=true,,"
      ","
      ","
      ",44000,PEV,Votação na generalidade,G,Grupos Parlamentares,PEV,7404,"Comissão de Educação, Ciência, Juventude e Desporto",S,Rejeitado,,7,RP,Contra,Abstenção,A Favor,A Favor,Abstenção,A Favor,A Favor,Abstenção,,,Abstenção,2019-11-15,"
      ",,,,A Favor,,,"
      ",,2019,l14
26,85376,I,J,Projeto de Lei,XIV,1,2019-10-25,2020-09-14,"Garante o direito à redução de horário de trabalho, para efeitos de amamentação, aleitação ou acompanhamento à criança até aos três anos de idade, promovendo uma alteração ao Código do Trabalho, aprovado pela Lei nº 7/2009, de 12 de fevereiro",NAO,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c6379395953565a4d5a5763765247396a6457316c626e527663306c7561574e7059585270646d45765a575931596d49304e574d744d5449324e5330304d6d51354c546c684f4459745a6d466a4d4755314e6a4130597a4a694c6d527659773d3d&fich=ef5bb45c-1265-42d9-9a86-fac0e5604c2b.doc&Inline=true,,"
      ","
      ","
      ",43982,PEV,Requerimento Baixa Comissão sem Votação (Generalidade),G,Grupos Parlamentares,PEV,7444,Comissão de Trabalho e Segurança Social,S,Aprovado,"Requerimento, apresentado pelo PEV solicitando a baixa à Comissão de Trabalho e Segurança Social, sem votação, por 60 dias, do Projeto de Lei n.º 26/XIV/1.ª (PEV)",7,RP,A Favor,A Favor,A Favor,A Favor,A Favor,A Favor,A Favor,A Favor,,,A Favor,2019-11-15,"
      ",unanime,,,A Favor,,,"
      ",,2019,l14
61,85372,I,J,Projeto de Lei,XIV,1,2019-10-25,2020-09-14,Efetiva o direito à progressão remuneratória dos professores do Ensino Superior Público garantindo a contabilização de todos os pontos obtidos,NAO,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c6379395953565a4d5a5763765247396a6457316c626e527663306c7561574e7059585270646d4576596a646b4e5751774e6d49744e6d51774d6930304e5449784c546b344d5467745a6a597a4e3245324e44686d5a574d304c6d527659773d3d&fich=b7d5d06b-6d02-4521-9818-f637a648fec4.doc&Inline=true,,"
      ","
      ","
      ",44054,PCP,Votação na generalidade,G,Grupos Parlamentares,PCP,7404,"Comissão de Educação, Ciência, Juventude e Desporto",S,Rejeitado,,7,RP,Contra,Abstenção,A Favor,A Favor,Abstenção,A Favor,A Favor,Abstenção,,,Contra,2019-11-15,"
      ",,,,A Favor,,,"
      ",,2019,l14
44,85383,I,R,Projeto de Resolução,XIV,1,2019-10-25,2020-09-14,Recomenda ao Governo a adoção de medidas que permitam aumentar a acessibilidade aos cuidados de saúde e melhorar a qualidade de vida das pessoas portadoras de Doenças Inflamatórias do Intestino,NAO,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c6379395953565a4d5a5763765247396a6457316c626e527663306c7561574e7059585270646d45764e6a68684f544d315a5463744d6a4e6c4f5330304d6a51314c546c684e4451744e7a6c694d6d4e6d4f44526d5a574e6d4c6d527659773d3d&fich=68a935e7-23e9-4245-9a44-79b2cf84fecf.doc&Inline=true,,"
      ","
      ","
      ",44047,PSD,Votação na generalidade,G,Grupos Parlamentares,PSD,7424,Comissão de Saúde,N,Aprovado,,7,RP,A Favor,A Favor,Abstenção,A Favor,A Favor,A Favor,A Favor,A Favor,,,A Favor,2019-11-15,,,,,A Favor,,,"
      ",,2019,l14
59,85389,I,J,Projeto de Lei,XIV,1,2019-10-25,2020-09-14,"Majoração do subsídio de doença atribuído a doentes graves, crónicos ou oncológicos (sexta alteração do decreto-lei n.º 28/2004, de 4 de fevereiro)",NAO,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c6379395953565a4d5a5763765247396a6457316c626e527663306c7561574e7059585270646d4576597a426b4d3249305a4467744f5752694d7930305957526d4c5749354e4463744e47566b4d5445775a574d355a4445774c6d527659773d3d&fich=c0d3b4d8-9db3-4adf-b947-4ed110ec9d10.doc&Inline=true,,"
      ","
      ","
      ",44049,BE,Votação na generalidade,G,Grupos Parlamentares,BE,7444,Comissão de Trabalho e Segurança Social,S,Rejeitado,,7,RP,Contra,Contra,A Favor,A Favor,Contra,Abstenção,A Favor,A Favor,,,Contra,2019-11-15,"
      ",,,,A Favor,,,"
      ",,2019,l14
42,85386,I,R,Projeto de Resolução,XIV,1,2019-10-25,2020-09-14,Pela defesa do Pinhal de Leiria,NAO,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c6379395953565a4d5a5763765247396a6457316c626e527663306c7561574e7059585270646d45764e6a42694d7a63334d6a45745a6a49314d5330305a4459774c57497a597a6b745a6d45794e6a55775a574d7a4e574d784c6d527659773d3d&fich=60b37721-f251-4d60-b3c9-fa2650ec35c1.doc&Inline=true,,"
      ","
      ","
      ",44045,PEV,Votação na generalidade,G,Grupos Parlamentares,PEV,7384,Comissão de Agricultura e Mar,S,Aprovado,,7,RP,Contra,A Favor,A Favor,A Favor,A Favor,A Favor,A Favor,A Favor,,,Contra,2019-11-15,,,,,A Favor,,,"
      ",,2019,l14
43,85387,I,R,Projeto de Resolução,XIV,1,2019-10-25,2020-09-14,Recomenda ao Governo o cumprimento de critérios de silvicultura no âmbito do Plano de Recuperação da Mata Nacional de Leiria,NAO,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c6379395953565a4d5a5763765247396a6457316c626e527663306c7561574e7059585270646d45764d57466b596d59794e3251744e546b794e6930304d6d5a694c5749304e6d51745a6a4e6c4f5463784d6a5a6d4d574d324c6d527659773d3d&fich=1adbf27d-5926-42fb-b46d-f3e97126f1c6.doc&Inline=true,,"
      ","
      ","
      ",44046,PSD,Votação na generalidade,G,Grupos Parlamentares,PSD,7384,Comissão de Agricultura e Mar,S,Aprovado,,7,RP,Abstenção,A Favor,A Favor,A Favor,A Favor,A Favor,A Favor,A Favor,,,Abstenção,2019-11-15,,,,,A Favor,,,"
      ",,2019,l14
36,85382,I,R,Projeto de Resolução,XIV,1,2019-10-25,2020-09-14,Recomenda ao Governo a adoção de medidas que minimizem o impacto das Doenças Inflamatórias do Intestino na vida destes doentes.,NAO,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c6379395953565a4d5a5763765247396a6457316c626e527663306c7561574e7059585270646d45764d325a6b4f54466c4f4445745a474d794d4330305a4441794c574a6a597a49745a6d45354e4451355a6d59304f57566b4c6d527659773d3d&fich=3fd91e81-dc20-4d02-bcc2-fa9449ff49ed.doc&Inline=true,,"
      ","
      ","
      ",44036,CDS-PP,Votação na generalidade,G,Grupos Parlamentares,CDS-PP,7424,Comissão de Saúde,N,Aprovado,,7,RP,Abstenção,A Favor,Abstenção,A Favor,A Favor,A Favor,A Favor,A Favor,,,Abstenção,2019-11-15,,,,,A Favor,,,"
      ",,2019,l14
29,85393,I,R,Projeto de Resolução,XIV,1,2019-10-25,2020-09-14,Implementação da nova maternidade de Coimbra no Campus do Hospital Geral (Covões),NAO,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c6379395953565a4d5a5763765247396a6457316c626e527663306c7561574e7059585270646d45764e6d55344e3255774d6d45744d574a694d5330304d7a41774c546c695a446b744d44646c4d5445794d5759355a54686c4c6d527659773d3d&fich=6e87e02a-1bb1-4300-9bd9-07e1121f9e8e.doc&Inline=true,,"
      ","
      ","
      ",44021,PEV,Votação na generalidade,G,Grupos Parlamentares,PEV,,,,Rejeitado,,7,RP,Abstenção,Abstenção,A Favor,A Favor,Abstenção,A Favor,A Favor,Abstenção,,,Contra,2019-11-15,,,,,A Favor,,,"
      ",,2019,l14
28,85375,I,R,Projeto de Resolução,XIV,1,2019-10-25,2020-09-14,Recomenda ao Governo que avalie a pertinência da introdução da sesta nos estabelecimentos de educação pré-escolar,NAO,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c6379395953565a4d5a5763765247396a6457316c626e527663306c7561574e7059585270646d45764e6d56685a44466c4d5759744e3255324e7930304f5463304c54686c4d7a4974597a4e6c59324531593259794d5445784c6d527659773d3d&fich=6ead1e1f-7e67-4974-8e32-c3eca5cf2111.doc&Inline=true,,"
      ","
      ","
      ",44016,BE,Votação na generalidade,G,Grupos Parlamentares,BE,7404,"Comissão de Educação, Ciência, Juventude e Desporto",S,Aprovado,,7,RP,Abstenção,A Favor,A Favor,A Favor,A Favor,A Favor,A Favor,Abstenção,,,Abstenção,2019-11-15,,,,,A Favor,,,"
      ",,2019,l14
37,85373,I,R,Projeto de Resolução,XIV,1,2019-10-25,2020-09-14,"Recomenda ao Governo que contabilize a avaliação obtida pelos ex-militares, nos anos em que desempenharam funções nas Forças Armadas, após ingresso na Administração Pública, para efeitos do sistema integrado de gestão e avaliação do desempenho na Administração Pública (SIADAP)",NAO,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c6379395953565a4d5a5763765247396a6457316c626e527663306c7561574e7059585270646d45764e575a694d446c6d4d446b74593259344d7930304e44526d4c5745304f5449744e544d785a6d46694d4455795a4441794c6d527659773d3d&fich=5fb09f09-cf83-444f-a492-531fab052d02.doc&Inline=true,,"
      ","
      ","
      ",44038,CDS-PP,Votação Deliberação,G,Grupos Parlamentares,CDS-PP,7504,"Comissão de Administração Pública, Modernização Administrativa, Descentralização e Poder Local",S,Aprovado,,7,RP,Contra,A Favor,A Favor,A Favor,A Favor,A Favor,A Favor,A Favor,,,A Favor,2019-11-15,,,,,Abstenção,,,"
      ",,2019,l14
31,85367,I,R,Projeto de Resolução,XIV,1,2019-10-25,2020-09-14,Recomenda ao Governo a adopção de medidas que permitam reforçar os direitos das mulheres na gravidez e no parto,NAO,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c6379395953565a4d5a5763765247396a6457316c626e527663306c7561574e7059585270646d45764e6d51304d474e6d4d6a63744f444d324d7930304d4749314c57497a4d444574595759344d324d324e7a566a4d5759324c6d527659773d3d&fich=6d40cf27-8363-40b5-b301-af83c675c1f6.doc&Inline=true,,"
      ","
      ","
      ",44030,PAN,Votação na generalidade,G,Grupos Parlamentares,PAN,7424,Comissão de Saúde,N,Rejeitado,,7,RP,Contra,Abstenção,A Favor,Abstenção,Abstenção,A Favor,Abstenção,Abstenção,,,A Favor,2019-11-15,,,,,A Favor,,,"
      ",,2019,l14
39,85391,I,R,Projeto de Resolução,XIV,1,2019-10-25,2020-09-14,Recomenda ao governo que crie condições para o reforço da proteção dos trabalhadores na doença quando esta implique circunstâncias económicas particularmente gravosas,NAO,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c6379395953565a4d5a5763765247396a6457316c626e527663306c7561574e7059585270646d4576593255304d575134596a67744f546b775a5330304d4751774c546b324e4449745a47526b4e5751344d4442694e325a6b4c6d527659773d3d&fich=ce41d8b8-990e-40d0-9642-ddd5d800b7fd.doc&Inline=true,,"
      ","
      ","
      ",44040,PAN,Votação Deliberação,G,Grupos Parlamentares,PAN,7444,Comissão de Trabalho e Segurança Social,S,Rejeitado,,7,RP,Contra,A Favor,Contra,Contra,A Favor,A Favor,Contra,A Favor,,,A Favor,2019-11-15,,,,,Contra,,,"
      ",,2019,l14
41,85385,I,R,Projeto de Resolução,XIV,1,2019-10-25,2020-09-14,Salvar as matas litorais: compromissos de curto e longo prazo,NAO,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c6379395953565a4d5a5763765247396a6457316c626e527663306c7561574e7059585270646d4576593255774e7a67345a474574597a4e685a6930304d546b774c546869593259744f545579597a55324f546b324e6d4e694c6d527659773d3d&fich=ce0788da-c3af-4190-8bcf-952c569966cb.doc&Inline=true,,"
      ","
      ","
      ",44044,BE,Votação na generalidade,G,Grupos Parlamentares,BE,7384,Comissão de Agricultura e Mar,S,Aprovado,,7,RP,Contra,A Favor,A Favor,A Favor,A Favor,A Favor,A Favor,Abstenção,,,A Favor,2019-11-15,,,,,A Favor,,,"
      ",,2019,l14
38,85374,I,R,Projeto de Resolução,XIV,1,2019-10-25,2020-09-14,"Adopta as recomendações da Sociedade Portuguesa de Pediatria, promovendo a criação de condições para a prática da sesta das crianças do ensino pré-escolar",NAO,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c6379395953565a4d5a5763765247396a6457316c626e527663306c7561574e7059585270646d45764e6a526a5a575a6d4e7a4574595463334d4330305a6d566a4c546b354e7a41744e5745344f5456684f546b355a6d55344c6d527659773d3d&fich=64ceff71-a770-4fec-9970-5a895a999fe8.doc&Inline=true,,"
      ","
      ","
      ",44039,PAN,Votação na generalidade,G,Grupos Parlamentares,PAN,7404,"Comissão de Educação, Ciência, Juventude e Desporto",S,Rejeitado,,7,RP,Contra,Abstenção,A Favor,A Favor,Abstenção,A Favor,A Favor,Abstenção,,,Abstenção,2019-11-15,,,,,A Favor,,,"
      ",,2019,l14
